usage_date,consumer_id,consumer_type,meter_id,meter_name,capability,credit_rate,credits_consumed,unit_price_usd,cost_usd,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-28,robin.hale@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,generative_answer,2,1558,0.01,15.58,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,marco.silva@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,generative_answer,2,633,0.01,6.33,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,kim.arroyo@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Cowork,2,603,0.01,6.03,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,sam.chen@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,agent_action,3,1109,0.01,11.09,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,aisha.rahman@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Autopilot,3,2025,0.01,20.25,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-28,batch-2026-09-04,MOCK
2026-08-27,robin.hale@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,agent_action,3,300,0.01,3.0,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,dev.patel@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,generative_answer,2,628,0.01,6.28,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,lee.novak@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,agent_action,3,1903,0.01,19.03,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,sam.chen@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Cowork,2,675,0.01,6.75,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,marco.silva@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Autopilot,3,1626,0.01,16.26,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-27,batch-2026-09-04,MOCK
2026-08-26,sam.chen@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,agent_action,3,2150,0.01,21.5,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,jenny.oyelaran@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Cowork,2,1994,0.01,19.94,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,dev.patel@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,generative_answer,2,1506,0.01,15.06,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,marco.silva@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Cowork,2,1429,0.01,14.29,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,robin.hale@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Cowork,2,671,0.01,6.71,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-26,batch-2026-09-04,MOCK
2026-08-25,aisha.rahman@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Autopilot,3,2313,0.01,23.13,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,lee.novak@contoso.com,User,m365-copilot-credit,Microsoft 365 Copilot Credits,Autopilot,3,2460,0.01,24.6,2026-09-04T18:00:00Z,AI-FinOps-MOCK,powerplatform.billing / costmanagement,2026-08-25,batch-2026-09-04,MOCK
