report_date,user_principal_name,display_name,last_activity_date,copilot_chat_last_activity,teams_last_activity,word_last_activity,excel_last_activity,outlook_last_activity,report_period,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-28,aisha.rahman@contoso.com,Aisha Rahman,2026-08-28,,,,2026-08-28,2026-08-28,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,marco.silva@contoso.com,Marco Silva,2026-08-28,,2026-08-28,,,2026-08-28,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,jenny.oyelaran@contoso.com,Jenny Oyelaran,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,dev.patel@contoso.com,Dev Patel,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,sam.chen@contoso.com,Sam Chen,2026-08-28,2026-08-28,,2026-08-28,2026-08-28,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,robin.hale@contoso.com,Robin Hale,2026-08-28,2026-08-28,,,2026-08-28,2026-08-28,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,lee.novak@contoso.com,Lee Novak,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-28,kim.arroyo@contoso.com,Kim Arroyo,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-28,batch-2026-09-04,MOCK
2026-08-27,aisha.rahman@contoso.com,Aisha Rahman,2026-08-27,2026-08-27,2026-08-27,2026-08-27,,2026-08-27,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,marco.silva@contoso.com,Marco Silva,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,jenny.oyelaran@contoso.com,Jenny Oyelaran,2026-08-27,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,dev.patel@contoso.com,Dev Patel,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,sam.chen@contoso.com,Sam Chen,2026-08-27,2026-08-27,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,robin.hale@contoso.com,Robin Hale,2026-08-27,2026-08-27,2026-08-27,,2026-08-27,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,lee.novak@contoso.com,Lee Novak,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-27,kim.arroyo@contoso.com,Kim Arroyo,2026-08-27,2026-08-27,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-27,batch-2026-09-04,MOCK
2026-08-26,aisha.rahman@contoso.com,Aisha Rahman,2026-08-26,2026-08-26,,2026-08-26,,2026-08-26,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,marco.silva@contoso.com,Marco Silva,2026-08-26,2026-08-26,,2026-08-26,,2026-08-26,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,jenny.oyelaran@contoso.com,Jenny Oyelaran,2026-08-26,2026-08-26,,2026-08-26,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,dev.patel@contoso.com,Dev Patel,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,sam.chen@contoso.com,Sam Chen,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,robin.hale@contoso.com,Robin Hale,2026-08-26,2026-08-26,2026-08-26,,,2026-08-26,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,lee.novak@contoso.com,Lee Novak,2026-08-26,2026-08-26,2026-08-26,,2026-08-26,2026-08-26,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-26,kim.arroyo@contoso.com,Kim Arroyo,2026-08-26,2026-08-26,2026-08-26,,,2026-08-26,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-26,batch-2026-09-04,MOCK
2026-08-25,aisha.rahman@contoso.com,Aisha Rahman,2026-08-25,2026-08-25,,2026-08-25,,2026-08-25,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,marco.silva@contoso.com,Marco Silva,2026-08-25,2026-08-25,2026-08-25,2026-08-25,,2026-08-25,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,jenny.oyelaran@contoso.com,Jenny Oyelaran,2026-08-25,2026-08-25,2026-08-25,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,dev.patel@contoso.com,Dev Patel,2026-08-25,2026-08-25,2026-08-25,,,2026-08-25,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,sam.chen@contoso.com,Sam Chen,2026-08-25,,2026-08-25,,2026-08-25,2026-08-25,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,robin.hale@contoso.com,Robin Hale,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,lee.novak@contoso.com,Lee Novak,2026-08-25,2026-08-25,,2026-08-25,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-25,kim.arroyo@contoso.com,Kim Arroyo,2026-08-25,2026-08-25,,,2026-08-25,2026-08-25,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-25,batch-2026-09-04,MOCK
2026-08-24,aisha.rahman@contoso.com,Aisha Rahman,2026-08-24,2026-08-24,,,,2026-08-24,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-24,batch-2026-09-04,MOCK
2026-08-24,marco.silva@contoso.com,Marco Silva,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-24,batch-2026-09-04,MOCK
2026-08-24,jenny.oyelaran@contoso.com,Jenny Oyelaran,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-24,batch-2026-09-04,MOCK
2026-08-24,dev.patel@contoso.com,Dev Patel,,,,,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-24,batch-2026-09-04,MOCK
2026-08-24,sam.chen@contoso.com,Sam Chen,2026-08-24,2026-08-24,2026-08-24,2026-08-24,,,D7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,graph.getMicrosoft365CopilotUsageUserDetail,2026-08-24,batch-2026-09-04,MOCK
