identity_key,display_name,principal_type,upn,entra_object_id,github_login,is_human,department,home_business_unit_key,cost_center_key,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
0999cfae-085e-464f-a49d-f8851e3e5195,checkout-service,ServicePrincipal,,,,FALSE,Checkout,BU-RETAIL,CC-1000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
dd6d3503-88f1-4fc9-a4d0-1a79c3aaf364,search-api,ServicePrincipal,,,,FALSE,Search,BU-DISCOVERY,CC-2000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
62a2cc36-edb8-4520-b7fe-05433a160c32,ds-notebooks,ServicePrincipal,,,,FALSE,DataScience,BU-PLATFORM,CC-3000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
7bec6f27-dc94-4d6d-b89a-3969513bc71e,mobile-assistant,ServicePrincipal,,,,FALSE,Mobile,BU-RETAIL,CC-4000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
aisha.rahman,Aisha Rahman,User,aisha.rahman@contoso.com,aisha.rahman,aisha-rahman,TRUE,Underwriting,BU-INSURANCE,CC-1000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
marco.silva,Marco Silva,User,marco.silva@contoso.com,marco.silva,marco-silva,TRUE,Claims,BU-INSURANCE,CC-1000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
jenny.oyelaran,Jenny Oyelaran,User,jenny.oyelaran@contoso.com,jenny.oyelaran,jenny-oyelaran,TRUE,Platform,BU-TECH,CC-3000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
dev.patel,Dev Patel,User,dev.patel@contoso.com,dev.patel,dev-patel,TRUE,Platform,BU-TECH,CC-3000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
sam.chen,Sam Chen,User,sam.chen@contoso.com,sam.chen,sam-chen,TRUE,Search,BU-DISCOVERY,CC-2000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
robin.hale,Robin Hale,User,robin.hale@contoso.com,robin.hale,robin-hale,TRUE,Checkout,BU-RETAIL,CC-1000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
lee.novak,Lee Novak,User,lee.novak@contoso.com,lee.novak,lee-novak,TRUE,Data,BU-TECH,CC-3000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
kim.arroyo,Kim Arroyo,User,kim.arroyo@contoso.com,kim.arroyo,kim-arroyo,TRUE,Actuarial,BU-INSURANCE,CC-4000,2026-09-04T18:00:00Z,AI-FinOps-MOCK,entra.users+servicePrincipals / manual-map,2026-09-04,batch-2026-09-04,MOCK
